participant_id	HSNS1	HSNS2	HSNS3	HSNS4	HSNS5	HSNS6	HSNS7	HSNS8	HSNS9	HSNS10	age	gender	accuracy	country
P02922	4	3	4	4	4	4	4	4	5	1	45	1	87	US
P02923	4	3	4	4	4	4	3	2	4	4	27	1	85	US
P02924	2	5	3	3	3	2	5	2	5	1	36	1	86	US
P02925	4	3	1	5	5	4	4	4	3	5	39	1	97	US
P02926	2	4	4	2	2	2	3	1	4	1	45	1	86	US
P02927	5	2	2	5	4	4	4	5	3	5	47	1	75	US
P02928	2	2	4	3	1	4	2	2	2	1	34	1	55	US
P02929	4	2	2	2	2	4	2	1	4	1	29	1	63	US
P02930	1	1	4	2	4	4	0	4	5	5	33	1	77	US
P02931	3	4	5	4	3	5	4	2	4	2	34	1	96	US
P02932	5	5	5	2	3	5	4	4	4	1	34	1	90	US
P02933	5	3	4	2	4	4	4	4	5	2	38	1	99	US
P02934	5	1	4	3	2	4	4	4	4	4	46	1	89	US
P02935	4	5	5	3	4	5	2	2	5	2	30	1	96	US
P02936	4	4	4	2	5	5	5	4	5	2	27	1	93	US
P02937	3	4	3	2	3	2	5	3	2	4	51	1	57	US
P02938	3	5	4	2	2	3	5	1	3	3	44	1	79	US
P02939	2	5	4	5	3	5	4	5	5	2	45	1	88	US
P02940	4	5	4	4	3	5	5	4	4	2	52	1	81	US
P02941	4	4	4	2	4	3	4	5	5	4	34	1	59	US
P02942	5	5	4	2	4	5	4	3	5	3	55	1	85	US
P02943	5	2	2	3	4	5	4	4	5	2	18	1	70	US
P02944	4	5	4	5	2	4	4	5	4	2	32	1	81	US
P02945	4	3	4	5	2	5	2	4	3	1	63	1	85	US
P02946	4	2	5	3	1	3	4	2	4	1	34	1	95	US
P02947	5	4	4	2	2	5	5	4	5	1	32	1	79	US
P02948	4	2	4	4	4	5	4	4	4	4	33	1	94	US
P02949	4	2	2	5	4	4	3	5	4	4	18	1	74	US
P02950	5	2	4	3	3	4	4	4	5	3	23	1	87	US
P02951	3	2	1	3	1	4	3	1	4	1	36	1	82	US
P02952	4	3	1	1	4	5	4	2	4	2	27	1	95	US
P02953	5	2	3	3	4	4	2	3	4	2	54	1	87	US
P02954	4	4	4	3	3	4	3	4	5	1	49	1	92	US
P02955	5	4	5	5	5	5	4	2	5	4	37	1	79	US
P02956	3	4	4	4	4	5	0	3	5	4	39	1	34	US
P02957	5	4	4	2	4	5	4	5	4	3	29	1	84	US
P02958	1	4	4	1	3	3	4	1	4	1	28	1	79	US
P02959	5	2	4	2	5	5	2	5	3	5	60	1	89	US
P02960	3	3	4	2	4	5	5	5	3	1	41	1	66	US
P02961	2	2	2	1	2	3	3	5	3	1	25	1	77	US
P02962	5	2	4	3	5	3	1	4	2	1	32	1	100	US
P02963	3	2	2	1	0	3	2	4	4	4	19	1	89	US
P02964	0	2	4	2	4	4	3	4	5	3	33	1	91	US
P02965	4	2	2	2	2	4	4	2	3	2	33	1	95	US
P02966	5	1	5	2	4	5	5	5	4	2	39	1	74	US
P02967	5	1	4	5	5	5	3	5	4	5	34	1	89	US
P02968	4	4	4	2	4	4	1	5	1	3	20	1	84	US
P02969	5	4	4	1	4	5	5	1	4	5	53	1	93	US
P02970	5	4	4	1	2	4	5	2	4	2	39	1	84	US
P02971	5	4	4	1	4	3	5	4	5	4	44	1	90	US
P02972	1	2	3	3	2	2	3	3	2	2	50	1	87	US
P02973	2	5	5	3	3	3	4	3	4	2	33	1	89	US
P02974	5	1	1	4	5	4	4	5	4	2	19	1	78	US
P02975	5	2	4	4	3	4	4	2	4	4	58	1	59	US
P02976	4	2	2	2	3	5	1	2	4	1	18	1	95	US
P02977	4	4	5	3	2	4	4	2	4	3	39	1	65	US
P02978	3	5	3	2	4	5	4	1	4	1	53	1	89	US
P02979	4	4	5	3	4	4	1	2	4	2	39	1	73	US
P02980	0	2	5	2	4	3	4	1	3	1	40	1	91	US
P02981	3	3	5	3	1	4	1	1	5	1	35	1	99	US
P02982	4	2	1	5	4	5	3	2	3	2	33	1	89	US
P02983	5	5	5	2	4	5	5	4	4	4	24	1	98	US
P02984	4	5	4	4	3	4	5	3	5	4	30	1	87	US
P02985	4	2	5	3	3	3	4	2	4	4	47	1	83	US
P02986	2	1	2	4	4	3	1	2	4	1	39	1	73	US
P02987	4	2	3	3	4	5	3	2	4	5	57	1	89	US
P02988	1	2	4	1	1	4	2	2	4	1	42	1	82	US
P02989	4	1	3	2	2	4	5	3	2	2	50	1	95	US
P02990	4	1	1	2	2	3	1	2	5	2	29	1	76	US
P02991	4	1	2	2	4	4	1	1	3	4	31	1	96	US
P02992	4	2	5	5	2	5	1	5	4	4	21	1	96	US
P02993	3	4	5	2	3	4	5	4	5	2	37	1	93	US
P02994	3	1	2	0	1	4	2	1	4	1	31	1	95	US
P02995	1	2	2	4	2	5	2	2	2	5	33	1	99	US
P02996	5	3	5	5	4	4	4	3	4	1	39	1	100	US
P02997	3	3	5	1	2	4	4	4	4	1	26	1	84	US
P02998	4	3	2	4	5	5	4	5	5	4	28	1	99	US
P02999	4	1	3	4	1	3	1	0	2	1	42	1	83	US
P03000	4	4	4	1	4	5	4	2	3	4	57	1	81	US
P03001	2	2	4	3	3	5	0	2	5	2	27	1	79	US
P03002	3	3	2	4	5	5	3	4	4	3	33	1	76	US
P03003	4	2	4	5	5	5	5	4	5	4	32	1	77	US
P03004	3	4	4	2	3	2	5	4	5	4	48	1	67	US
P03005	4	4	5	5	5	4	4	5	4	5	23	1	49	US
P03006	4	4	5	5	5	4	4	5	4	4	39	1	89	US
P03007	5	1	2	1	4	4	4	3	3	3	42	1	81	US
P03008	3	2	4	1	1	4	1	3	1	1	18	1	94	US
P03009	4	2	1	2	3	1	2	3	2	2	40	1	92	US
P03010	5	2	1	3	4	4	5	4	2	3	30	1	86	US
P03011	5	4	5	4	4	4	5	4	5	4	45	1	83	US
P03012	4	2	3	2	2	4	3	2	2	1	22	1	99	US
P03013	5	1	2	4	4	1	5	4	1	2	38	1	74	US
P03014	4	4	4	1	5	4	4	3	5	5	18	1	87	US
P03015	4	1	2	1	2	1	1	3	2	2	60	1	70	US
P03016	5	4	2	3	4	4	5	3	5	3	24	1	80	US
P03017	5	3	4	3	4	5	4	5	4	5	29	1	69	US
P03018	3	1	3	1	5	5	3	4	2	2	28	1	65	US
P03019	1	4	4	5	3	3	4	3	4	4	44	1	76	US
P03020	4	3	4	4	3	4	5	2	5	2	46	1	81	US
P03021	5	4	5	4	5	5	2	4	3	3	31	1	87	US
P03022	4	1	1	2	1	2	2	2	2	1	35	1	89	US
P03023	4	1	4	0	4	5	4	2	5	3	37	1	86	US
P03024	2	4	4	4	2	5	5	2	5	4	39	1	77	US
P03025	5	4	3	2	5	1	2	4	1	5	37	1	84	US
P03026	4	4	4	5	5	5	4	5	4	4	27	1	88	US
P03027	5	4	5	1	2	5	2	4	5	3	26	1	93	US
P03028	1	4	2	3	2	3	4	1	4	1	29	1	91	US
P03029	5	2	5	1	5	4	5	4	4	5	32	1	78	US
P03030	2	5	5	2	4	2	5	2	4	2	25	1	88	US
P03031	4	4	2	3	4	5	2	5	4	4	50	1	99	US
P03032	2	4	3	1	4	2	4	4	4	2	18	1	68	US
P03033	5	1	5	2	2	4	2	4	3	1	65	1	82	US
P03034	5	4	2	3	4	4	3	4	0	2	18	1	79	US
P03035	2	3	2	2	4	4	3	4	3	2	41	1	86	US
P03036	5	1	3	4	2	4	3	2	3	4	37	1	80	US
P03037	5	4	5	5	5	4	5	5	4	5	34	1	94	US
P03038	1	2	2	2	2	4	2	3	4	1	39	1	95	US
P03039	5	4	2	3	4	5	4	0	5	4	18	1	74	US
P03040	4	2	5	4	3	5	1	2	4	4	36	1	83	US
P03041	5	2	4	3	3	4	3	4	4	2	27	1	96	US
P03042	4	4	4	2	3	3	5	2	5	2	23	1	98	US
P03043	4	4	5	1	5	5	5	4	5	4	30	1	76	US
P03044	4	3	4	5	2	4	4	3	3	3	45	1	97	US
P03045	5	1	4	4	5	5	2	5	5	5	21	1	89	US
P03046	2	5	5	2	5	5	4	5	5	3	38	1	66	US
P03047	4	3	5	4	2	0	4	3	4	1	50	1	84	US
P03048	4	2	4	2	4	3	3	4	5	3	61	1	92	US
P03049	2	4	4	2	2	5	2	2	3	1	48	1	76	US
P03050	5	5	5	2	4	4	5	5	5	5	21	1	83	US
P03051	4	1	2	2	3	4	4	4	2	1	42	1	84	US
P03052	4	3	4	5	5	5	4	5	5	5	19	1	98	US
P03053	4	2	1	3	1	4	2	2	4	2	35	1	77	US
P03054	4	5	5	4	4	4	4	4	5	1	26	1	68	US
P03055	2	3	4	3	5	4	5	4	4	4	24	1	93	US
P03056	4	1	4	4	3	2	3	1	4	2	32	1	66	US
P03057	5	2	4	2	4	4	4	3	4	1	51	1	89	US
P03058	4	4	5	3	5	3	2	3	4	2	22	1	83	US
P03059	4	4	2	5	5	5	4	4	4	3	26	1	96	US
P03060	5	1	2	2	2	4	2	4	2	4	29	1	71	US
P03061	4	5	5	4	3	4	5	2	5	1	37	1	77	US
P03062	4	1	2	2	3	2	3	2	5	1	39	1	86	US
P03063	5	1	2	5	4	5	4	5	5	2	35	1	58	US
P03064	4	2	1	3	2	3	2	1	4	1	44	1	81	US
P03065	5	1	2	4	4	5	3	2	4	4	26	1	90	US
P03066	5	2	4	4	3	4	3	4	2	1	47	1	88	US
P03067	4	2	3	2	2	2	2	4	4	1	41	1	90	US
P03068	4	2	4	1	2	5	2	1	1	1	26	1	64	US
P03069	3	2	2	5	2	2	2	3	2	1	47	1	91	US
P03070	4	1	5	4	5	5	4	5	4	3	20	1	75	US
P03071	2	1	2	1	3	4	3	1	1	1	33	1	98	US
P03072	4	5	5	5	5	4	4	3	4	3	43	1	82	US
P03073	3	3	5	1	4	5	4	2	5	2	44	1	78	US
P03074	4	5	4	1	4	5	4	4	5	2	45	1	82	US
P03075	4	5	5	0	5	5	5	4	5	4	33	1	89	US
P03076	3	1	5	3	3	4	2	2	4	1	33	1	82	US
P03077	4	2	4	2	4	2	4	3	2	2	25	1	67	US
P03078	4	4	4	3	2	3	4	2	3	3	39	1	88	US
P03079	3	2	5	5	3	5	2	2	4	3	38	1	79	US
P03080	4	4	0	1	5	4	2	4	2	2	18	1	95	US
P03081	4	1	2	4	3	4	4	5	1	3	33	1	84	US
P03082	3	5	4	3	4	3	4	4	5	4	47	1	91	US
P03083	4	4	4	3	5	4	4	4	1	1	18	1	78	US
P03084	4	2	4	3	4	4	1	1	5	2	18	1	93	US
P03085	0	1	4	5	2	5	4	3	5	3	30	1	99	US
P03086	4	4	4	5	3	3	4	4	4	4	18	1	72	US
P03087	4	3	2	4	5	3	4	5	2	4	34	1	83	US
P03088	4	5	5	5	2	5	5	2	5	3	18	1	77	US
P03089	2	2	2	1	2	4	3	3	3	3	36	1	76	US
P03090	5	2	4	4	4	5	2	4	4	2	37	1	80	US
P03091	5	4	4	4	3	0	5	4	5	5	46	1	83	US
P03092	5	1	1	1	3	3	2	5	3	4	37	1	95	US
P03093	1	4	4	3	1	4	5	4	5	1	21	1	96	US
P03094	3	1	4	1	2	4	4	1	4	1	32	1	97	US
P03095	4	5	4	2	1	2	5	2	4	1	30	1	99	US
P03096	2	5	5	2	3	4	4	2	3	1	20	1	95	US
P03097	5	3	5	2	5	5	3	5	3	5	25	1	83	US
P03098	5	4	3	5	4	5	4	4	4	3	32	1	33	US
P03099	4	3	2	4	4	5	5	5	5	4	34	1	88	US
P03100	3	3	4	3	2	5	5	5	5	3	46	1	83	US
P03101	5	5	5	3	2	5	5	5	5	4	60	1	95	US
P03102	4	4	5	0	3	3	2	5	4	2	26	1	57	US
P03103	4	1	1	2	2	2	1	2	3	2	39	1	73	US
P03104	5	3	3	5	3	4	5	2	4	3	26	1	64	US
P03105	4	5	5	3	2	3	4	3	3	2	31	1	81	US
P03106	4	4	5	5	3	4	4	0	4	3	23	1	94	US
P03107	4	2	1	2	3	4	4	4	4	4	53	1	71	US
P03108	4	1	2	5	4	4	2	2	4	4	45	1	91	US
P03109	3	2	4	4	2	5	3	2	4	1	42	1	94	US
P03110	5	2	3	3	4	4	3	4	3	5	40	1	97	US
P03111	1	4	4	3	1	4	4	1	0	1	21	1	79	US
P03112	5	4	2	5	4	4	5	5	5	2	50	1	90	US
P03113	4	1	2	1	2	3	1	2	1	1	50	1	88	US
P03114	4	5	3	4	5	5	3	5	5	4	19	1	88	US
P03115	5	3	4	5	5	5	3	4	2	4	63	1	90	US
P03116	3	4	4	5	5	5	3	5	4	2	47	1	94	US
P03117	2	4	5	3	3	4	5	2	5	4	48	1	67	US
P03118	3	5	5	3	2	4	4	2	4	2	47	1	88	US
P03119	2	5	5	2	2	3	4	1	5	1	36	1	83	US
P03120	2	5	4	2	2	3	2	3	2	2	55	1	95	US
P03121	1	2	3	3	1	5	1	1	3	1	39	1	90	US
P03122	5	1	4	1	4	5	1	2	2	3	36	1	76	US
P03123	4	5	5	5	3	4	4	3	4	2	32	1	65	US
P03124	3	3	2	2	3	5	4	5	5	5	44	1	93	US
P03125	4	4	4	3	2	4	4	5	5	2	53	1	86	US
P03126	5	4	1	2	1	4	4	3	5	1	59	1	87	US
P03127	3	2	4	1	1	5	4	2	2	1	19	1	92	US
P03128	3	4	4	4	4	0	5	1	5	3	58	1	90	US
P03129	2	3	3	1	3	4	4	2	5	1	25	1	66	US
P03130	3	4	2	1	2	4	4	2	3	1	24	1	69	US
P03131	2	1	3	5	1	3	1	1	2	2	29	1	83	US
P03132	5	1	3	5	5	5	4	5	4	3	51	1	70	US
P03133	2	2	2	1	2	4	2	2	3	2	33	1	55	US
P03134	4	1	3	3	4	5	4	2	4	4	49	1	69	US
P03135	3	4	3	2	2	3	4	1	4	1	35	1	67	US
P03136	4	4	5	5	4	4	5	4	5	4	28	1	98	US
P03137	4	3	2	2	3	3	1	4	4	2	29	1	82	US
P03138	4	5	2	3	4	5	4	4	3	4	43	1	78	US
P03139	4	3	4	4	4	4	4	4	4	3	43	1	82	US
P03140	5	2	2	1	4	4	1	4	2	1	20	1	87	US
P03141	4	0	4	2	3	0	5	2	5	1	39	1	81	US
P03142	1	2	4	1	3	4	4	1	2	2	43	1	89	US
P03143	5	4	5	5	5	4	5	5	5	0	26	1	89	US
P03144	5	3	3	2	5	3	4	4	4	5	29	1	82	US
P03145	5	5	4	1	3	4	4	2	5	1	30	1	82	US
P03146	5	5	4	4	4	5	5	5	4	2	31	1	84	US
P03147	3	1	2	4	1	3	4	1	4	2	49	1	89	US
P03148	4	2	4	0	1	5	4	3	5	4	33	1	82	US
P03149	1	4	4	1	2	4	5	1	5	1	25	1	88	US
P03150	5	4	4	2	5	5	5	5	5	5	20	1	80	US
P03151	2	4	4	1	2	4	4	2	3	2	48	1	88	US
P03152	5	1	1	4	5	5	2	4	5	5	27	1	86	US
P03153	4	2	5	4	4	4	3	5	4	5	44	1	99	US
P03154	2	4	4	2	3	4	4	2	5	1	33	1	93	US
P03155	3	2	3	4	3	5	3	4	2	4	23	1	76	US
P03156	2	3	2	2	3	4	4	2	5	2	40	1	93	US
P03157	4	2	3	3	4	4	2	4	4	2	18	1	96	US
P03158	5	4	5	3	4	5	4	5	5	2	18	1	92	US
P03159	4	4	1	3	2	3	4	4	2	2	41	1	89	US
P03160	4	2	3	2	2	4	4	4	5	2	27	1	91	US
P03161	1	2	3	1	1	3	4	1	5	1	23	1	82	US
P03162	4	2	4	1	4	4	3	4	4	3	24	1	74	US
P03163	5	2	2	5	4	4	4	2	4	1	34	1	89	US
P03164	4	1	4	3	1	4	4	4	2	2	31	1	85	US
P03165	4	5	5	5	4	2	4	5	5	2	43	1	86	US
P03166	5	1	2	3	3	4	3	3	4	3	36	1	97	US
P03167	4	2	5	2	4	5	5	4	4	2	44	1	86	US
P03168	1	2	1	2	3	4	2	2	1	1	19	1	93	US
P03169	4	4	5	2	3	5	4	2	4	3	31	1	94	US
P03170	3	4	5	0	1	2	3	1	5	2	40	1	97	US
P03171	5	5	5	2	2	5	4	0	4	2	41	1	75	US
P03172	4	1	4	2	4	4	4	4	3	1	47	1	61	US
P03173	5	3	2	3	5	5	4	5	2	5	33	1	69	US
P03174	5	5	4	4	5	5	5	5	5	3	45	1	93	US
P03175	1	1	2	2	4	4	1	4	1	1	30	1	66	US
P03176	4	4	5	2	3	4	3	2	4	1	39	1	82	US
P03177	3	5	4	2	3	2	4	3	4	2	50	1	93	US
P03178	5	4	4	3	4	3	4	4	4	4	47	1	97	US
P03179	5	1	2	2	5	5	1	2	3	4	31	1	90	US
P03180	4	4	4	4	1	4	3	5	3	2	33	1	82	US
P03181	2	1	2	2	4	2	1	3	3	1	28	1	90	US
P03182	4	1	4	4	1	2	3	1	2	1	36	1	80	US
P03183	2	1	4	3	2	4	2	3	3	1	22	1	92	US
P03184	2	4	5	2	3	4	4	4	4	3	41	1	97	US
P03185	4	2	4	5	1	2	4	1	5	1	21	1	85	US
P03186	3	3	5	3	5	5	1	3	3	4	22	1	79	US
P03187	1	3	3	2	2	2	4	1	4	1	36	1	72	US
P03188	5	5	5	2	2	5	5	2	4	1	49	1	82	US
P03189	4	2	2	4	4	5	4	2	5	4	46	1	97	US
P03190	2	4	4	2	4	3	4	0	3	1	20	1	87	US
P03191	2	1	1	1	3	5	1	2	4	4	35	1	38	US
P03192	4	4	5	3	5	4	4	5	5	2	54	1	86	US
P03193	2	1	5	4	3	4	3	5	4	2	27	1	95	US
P03194	4	1	1	4	4	4	2	2	1	4	40	1	92	US
P03195	2	2	3	2	2	2	4	1	3	4	42	1	93	US
P03196	4	3	4	1	1	4	4	3	3	2	37	1	95	US
P03197	3	1	3	2	2	2	4	2	1	2	47	1	73	US
P03198	5	4	2	5	1	5	5	4	5	2	27	1	88	US
P03199	4	2	3	4	2	5	3	4	4	4	32	1	93	US
P03200	3	3	3	4	3	2	4	2	4	1	28	1	89	US
P03201	2	2	2	4	3	3	5	5	4	2	31	1	81	US
P03202	4	2	4	3	4	5	4	4	5	4	32	1	95	US
P03203	5	4	5	5	5	4	5	0	5	4	44	1	87	US
P03204	5	4	1	4	4	5	0	4	4	5	32	1	85	US
P03205	3	5	4	4	3	5	5	4	5	2	18	1	92	US
P03206	5	4	5	4	5	5	5	4	5	2	42	1	90	US
P03207	5	4	5	5	3	4	4	5	4	2	41	1	71	US
P03208	2	5	4	3	4	4	5	4	2	2	24	1	48	US
P03209	5	5	4	5	5	5	5	5	5	5	47	1	89	US
P03210	4	4	4	4	4	4	4	3	2	2	32	1	78	US
P03211	5	2	3	1	3	2	3	4	3	2	33	1	82	US
P03212	1	3	2	4	2	4	4	2	3	1	45	1	80	US
P03213	2	2	4	2	3	4	5	4	1	2	67	1	70	US
P03214	5	5	5	5	2	4	4	2	5	3	48	1	47	US
P03215	2	2	5	2	2	4	3	0	5	3	22	1	50	US
P03216	5	5	3	5	4	5	4	5	4	1	48	1	90	US
P03217	5	5	5	2	5	4	5	5	5	4	47	1	85	US
P03218	4	3	4	2	5	5	3	3	1	3	36	1	88	US
P03219	5	5	2	5	4	5	4	4	4	4	42	1	87	US
P03220	5	2	4	3	5	5	5	4	5	4	33	1	86	US
P03221	4	1	1	4	4	4	1	2	1	1	29	1	86	US
P03222	4	1	4	4	5	4	1	5	5	2	29	1	94	US
P03223	4	1	4	1	4	3	2	1	4	2	33	1	92	US
P03224	4	0	2	1	3	5	4	5	2	1	47	1	92	US
P03225	3	4	4	1	2	3	3	2	4	1	27	1	94	US
P03226	2	4	5	5	5	5	5	1	2	4	34	1	79	US
P03227	4	1	3	2	3	3	3	1	1	2	65	1	57	US
P03228	1	5	4	4	3	4	4	2	4	5	33	1	73	US
P03229	3	5	5	1	3	4	4	4	4	1	49	1	96	US
P03230	4	1	4	1	3	5	2	2	5	3	44	1	91	US
P03231	4	2	3	5	3	4	4	5	2	3	31	1	100	US
P03232	4	4	1	5	2	5	1	4	4	3	33	1	95	US
P03233	2	1	2	5	4	5	1	5	3	4	18	1	90	US
P03234	5	5	5	4	2	3	5	4	4	2	18	1	67	US
P03235	4	4	4	3	1	2	4	3	4	2	18	1	89	US
P03236	4	2	5	3	3	4	4	2	2	3	45	1	92	US
P03237	2	1	2	4	4	5	3	4	4	3	35	1	89	US
P03238	4	3	2	5	5	4	4	4	2	4	29	1	72	US
P03239	4	3	4	4	4	4	2	2	2	2	36	1	86	US
P03240	5	4	1	2	4	5	4	4	4	4	39	1	93	US
P03241	5	4	2	2	2	4	2	4	3	1	53	1	95	US
P03242	5	5	5	4	2	5	5	4	5	2	39	1	98	US
P03243	2	4	3	4	4	3	4	4	4	2	49	1	88	US
P03244	3	5	3	4	2	4	5	5	5	1	18	1	66	US
P03245	2	4	3	3	2	4	4	3	5	1	25	1	70	US
P03246	2	5	4	4	4	4	3	4	4	3	18	1	92	US
P03247	5	2	4	0	3	4	4	4	5	4	18	1	91	US
P03248	5	5	5	4	4	4	2	5	5	2	53	1	94	US
P03249	5	5	5	3	2	2	5	3	5	2	32	1	92	US
P03250	4	2	1	3	3	4	1	4	1	2	52	1	98	US
P03251	5	2	4	2	5	5	4	4	4	5	35	1	88	US
P03252	3	5	5	2	2	4	5	4	3	1	46	1	88	US
P03253	4	1	3	1	2	4	4	3	2	1	27	1	59	US
P03254	4	1	3	3	5	5	2	4	2	5	35	1	96	US
P03255	4	1	2	4	3	5	4	2	2	2	31	1	87	US
P03256	4	3	4	5	2	3	2	2	4	1	39	1	86	US
P03257	5	1	4	4	4	5	4	5	2	4	33	1	66	US
P03258	2	2	3	4	1	4	3	2	3	1	32	1	64	US
P03259	2	2	2	2	5	4	1	1	2	1	28	1	90	US
P03260	5	4	5	4	2	4	4	5	5	1	23	1	71	US
P03261	4	4	4	1	4	5	4	4	4	3	31	1	92	US
P03262	1	5	4	4	2	3	5	3	2	1	28	1	99	US
P03263	5	4	2	4	5	4	3	5	4	4	45	1	58	US
P03264	4	1	2	1	4	5	2	4	3	2	40	1	58	US
P03265	3	4	5	2	4	5	5	4	4	4	38	1	95	US
P03266	4	1	2	3	4	4	3	1	2	2	33	1	95	US
P03267	4	1	2	1	3	5	1	2	3	1	40	1	92	US
P03268	4	2	1	4	4	3	4	5	5	5	33	1	92	US
P03269	5	4	5	5	5	5	2	5	4	5	55	1	87	US
P03270	5	0	4	4	3	4	5	5	5	4	36	1	99	US
P03271	3	2	4	2	4	3	4	3	4	2	40	1	98	US
P03272	4	4	4	4	4	5	3	3	3	2	46	1	99	US
P03273	3	3	3	2	5	5	5	4	4	3	22	1	93	US
P03274	0	4	4	1	3	2	2	1	2	1	35	1	96	US
P03275	4	2	4	2	4	4	4	5	3	1	43	1	83	US
P03276	5	5	3	4	4	4	4	1	5	2	32	1	70	US
P03277	4	2	2	2	2	4	1	2	2	1	20	1	72	US
P03278	4	2	3	2	4	5	4	2	4	1	27	1	93	US
P03279	4	1	4	1	4	5	4	4	4	3	30	1	90	US
P03280	2	2	5	2	3	2	2	2	3	3	26	1	64	US
P03281	1	4	4	2	1	5	3	2	2	3	52	1	94	US
P03282	5	5	5	2	3	5	3	4	5	3	24	1	85	US
P03283	5	1	3	3	3	2	1	2	4	2	42	1	95	US
P03284	4	4	4	5	5	5	4	4	5	3	35	1	68	US
P03285	4	2	5	3	3	5	3	2	4	1	36	1	80	US
P03286	0	2	2	2	1	1	4	2	1	2	35	1	85	US
P03287	4	5	5	2	4	5	4	2	4	1	35	1	82	US
P03288	4	4	5	2	2	4	4	4	4	1	63	1	91	US
P03289	5	0	2	5	5	4	4	5	4	5	31	1	79	US
P03290	4	1	2	2	2	2	1	4	4	1	32	1	62	US
P03291	3	5	4	2	4	5	0	2	5	2	30	1	81	US
P03292	5	4	5	5	3	3	4	3	4	2	30	1	95	US
P03293	4	4	2	4	4	5	5	4	4	3	30	1	86	US
P03294	5	5	4	2	4	4	5	4	4	4	44	1	92	US
P03295	3	3	4	2	3	4	4	4	4	2	38	1	78	US
P03296	5	5	5	1	5	4	5	5	5	3	39	1	95	US
P03297	2	1	3	3	5	4	1	5	4	2	41	1	98	US
P03298	0	2	2	2	1	4	2	2	4	1	41	1	84	US
P03299	5	4	5	2	4	4	4	3	4	3	34	1	61	US
P03300	2	3	4	2	4	4	4	5	5	3	43	1	98	US
P03301	5	3	5	4	5	4	4	4	5	3	38	1	88	US
P03302	3	3	4	5	4	5	5	3	4	4	19	1	98	US
P03303	4	2	2	5	2	1	1	1	4	3	58	1	89	US
P03304	2	3	4	4	1	4	1	2	4	1	37	1	74	US
P03305	4	3	4	2	3	4	3	4	5	4	36	1	88	US
P03306	4	3	5	2	4	4	4	4	5	1	36	1	79	US
P03307	4	1	4	2	4	0	3	3	4	1	31	1	71	US
P03308	4	3	0	3	4	4	4	3	4	3	33	1	64	US
P03309	4	2	5	2	2	3	5	4	2	4	48	1	97	US
P03310	4	5	4	5	5	4	5	5	5	3	26	1	73	US
P03311	5	4	2	2	4	5	4	4	4	2	45	1	88	US
P03312	5	4	4	4	5	4	4	3	4	3	33	1	84	US
P03313	4	4	4	2	4	5	4	3	4	2	27	1	96	US
P03314	3	5	4	1	1	4	5	4	5	2	41	1	91	US
P03315	4	2	5	4	4	4	4	1	1	2	41	1	75	US
P03316	5	4	2	2	4	5	4	3	4	2	40	1	94	US
P03317	4	4	5	1	2	4	4	5	5	2	26	1	91	US
P03318	4	3	4	1	4	3	2	4	4	2	49	1	95	US
P03319	0	1	3	2	2	5	4	3	4	3	46	1	80	US
P03320	4	1	3	1	2	5	2	0	1	2	26	1	87	US
P03321	4	2	3	1	3	4	3	5	5	5	18	1	94	US
P03322	5	2	3	3	4	5	2	4	4	3	29	1	83	US
P03323	2	1	1	2	2	4	2	2	3	1	18	1	77	US
P03324	4	4	5	5	3	5	4	2	3	2	22	1	89	US
P03325	1	1	1	4	2	5	4	3	4	1	35	1	72	US
P03326	5	5	5	2	5	4	5	4	5	4	35	1	98	US
P03327	5	4	4	1	3	5	4	4	4	4	45	1	92	US
P03328	4	4	4	1	2	4	3	2	4	1	29	1	67	US
P03329	5	3	5	3	2	5	2	4	2	3	55	1	67	US
P03330	4	5	2	3	5	3	4	4	5	4	31	1	99	US
P03331	4	2	5	4	2	4	0	2	4	3	55	1	86	US
P03332	4	1	4	4	4	5	4	2	4	5	37	1	76	US
P03333	2	1	1	3	3	5	2	3	1	3	33	1	77	US
P03334	5	5	4	2	4	5	5	5	4	2	55	1	95	US
P03335	5	4	4	4	5	0	3	5	1	5	28	1	97	US
P03336	1	4	3	2	2	2	3	1	4	1	43	1	79	US
P03337	3	2	3	2	4	5	0	4	4	4	29	1	70	US
P03338	3	3	5	3	5	5	4	4	5	4	24	1	89	US
P03339	5	3	4	2	3	4	4	4	4	2	36	1	83	US
P03340	2	3	4	2	1	5	5	2	4	3	48	1	98	US
P03341	3	5	4	4	2	3	5	2	4	2	36	1	90	US
P03342	2	1	2	5	2	4	2	5	3	2	39	1	92	US
P03343	2	5	2	1	3	5	5	2	4	1	31	1	92	US
P03344	4	1	2	1	3	5	2	2	2	2	38	1	87	US
P03345	4	2	4	2	3	5	3	2	5	1	37	1	92	US
P03346	5	5	4	4	3	4	4	5	5	4	23	1	63	US
P03347	4	3	2	3	4	4	2	2	1	4	52	1	90	US
P03348	5	5	5	4	4	5	5	2	4	5	34	1	73	US
P03349	4	2	4	2	4	3	4	3	4	2	29	1	84	US
P03350	5	5	5	5	5	5	5	5	4	5	27	1	91	US
P03351	4	5	5	3	5	5	4	4	2	5	41	1	92	US
P03352	5	4	4	5	5	5	5	5	4	1	35	1	89	US
P03353	3	4	1	2	4	4	4	4	3	5	34	1	82	US
P03354	4	2	2	3	4	5	2	4	4	4	18	1	87	US
P03355	4	1	2	3	4	4	2	4	2	3	60	1	98	US
P03356	1	4	4	3	4	3	2	4	2	2	23	1	63	US
