session_id	device_family	completion_band	response_quality_band
S012748	device_1901	ordinary	low
S001205	device_2196	ordinary	typical
S006416	device_0257	ordinary	typical
S003226	device_0023	ordinary	typical
S003257	device_0349	ordinary	typical
S009986	device_1553	ordinary	typical
S000356	device_0146	repeatable	high
S001171	device_1220	ordinary	typical
S002492	device_3071	repeatable	typical
S004865	device_0746	ordinary	typical
S010698	device_3493	ordinary	high
S010710	device_2123	ordinary	typical
S008272	device_1334	ordinary	high
S009381	device_0864	ordinary	typical
S012784	device_2255	ordinary	typical
S010307	device_0829	ordinary	typical
S004399	device_1871	ordinary	typical
S001053	device_0712	ordinary	typical
S004350	device_3176	ordinary	typical
S002503	device_0596	ordinary	typical
S002286	device_0011	ordinary	typical
S009310	device_3485	ordinary	typical
S005861	device_2118	repeatable	high
S012387	device_2921	ordinary	typical
S005607	device_0829	ordinary	typical
S001293	device_1561	repeatable	high
S009915	device_1790	ordinary	typical
S011567	device_3316	ordinary	low
S011901	device_2811	repeatable	high
S003620	device_1517	repeatable	typical
S010877	device_2981	ordinary	typical
S007792	device_1636	ordinary	typical
S002243	device_1728	ordinary	typical
S002685	device_0967	ordinary	typical
S012550	device_0815	ordinary	typical
S011117	device_2891	ordinary	high
S004862	device_3204	ordinary	typical
S005276	device_2618	ordinary	high
S012108	device_3322	ordinary	typical
S000164	device_0658	ordinary	typical
S003435	device_1574	ordinary	typical
S000090	device_1016	repeatable	high
S005475	device_1520	ordinary	typical
S008607	device_1883	ordinary	typical
S009647	device_2786	repeatable	high
S009994	device_1590	ordinary	typical
S008466	device_3294	ordinary	typical
S005874	device_1698	repeatable	high
S009431	device_2464	ordinary	low
S006311	device_3341	ordinary	typical
S003692	device_3132	ordinary	typical
S008046	device_1688	ordinary	high
S011302	device_2424	ordinary	typical
S006035	device_1643	ordinary	typical
S010174	device_0350	repeatable	high
S003602	device_3098	ordinary	high
S011651	device_1075	ordinary	low
S005622	device_3192	ordinary	high
S001478	device_3380	ordinary	high
S007289	device_1175	ordinary	high
S004928	device_1017	repeatable	typical
S006155	device_1463	ordinary	high
S000797	device_0974	ordinary	typical
S000083	device_3145	repeatable	high
S005997	device_1941	ordinary	typical
S001592	device_1199	repeatable	high
S008429	device_0323	repeatable	high
S003789	device_2918	repeatable	high
S011221	device_1385	ordinary	high
S008249	device_1035	repeatable	low
S002304	device_2605	ordinary	typical
S007227	device_1302	ordinary	low
S011772	device_0267	repeatable	high
S008751	device_3578	repeatable	typical
S003021	device_0577	repeatable	high
S012051	device_2366	repeatable	high
S007242	device_3392	repeatable	high
S001170	device_0057	ordinary	typical
S012707	device_0596	ordinary	typical
S005184	device_2700	repeatable	high
S000258	device_2236	repeatable	typical
S001926	device_0731	ordinary	high
S000267	device_2175	ordinary	typical
S000688	device_0820	ordinary	typical
S001898	device_0755	ordinary	typical
S006031	device_1201	ordinary	typical
S002461	device_1235	ordinary	typical
S010450	device_2485	ordinary	typical
S005844	device_3260	ordinary	typical
S008667	device_0548	ordinary	typical
S009237	device_2077	ordinary	low
S012695	device_1848	repeatable	high
S003648	device_2537	ordinary	typical
S004397	device_1699	ordinary	high
S010035	device_2484	ordinary	typical
S004997	device_1798	ordinary	typical
S002191	device_3106	ordinary	typical
S012043	device_1770	ordinary	typical
S010727	device_0219	ordinary	typical
S010613	device_0328	ordinary	typical
S007468	device_3469	repeatable	typical
S011859	device_0691	ordinary	typical
S010651	device_1904	repeatable	typical
S001918	device_1053	ordinary	typical
S002364	device_1101	ordinary	typical
S000879	device_2102	ordinary	high
S006284	device_0076	ordinary	high
S003568	device_1551	ordinary	typical
S000499	device_1824	ordinary	typical
S004777	device_2240	ordinary	low
S006482	device_1592	repeatable	typical
S010558	device_0344	repeatable	high
S003476	device_0831	repeatable	typical
S002314	device_1336	repeatable	high
S000286	device_3138	repeatable	high
S003772	device_1323	ordinary	typical
S004206	device_0101	ordinary	low
S002692	device_1913	ordinary	typical
S005847	device_1672	ordinary	typical
S008610	device_0508	ordinary	typical
S009150	device_2912	repeatable	high
S000928	device_1448	ordinary	typical
S011817	device_2624	ordinary	typical
S008786	device_0931	ordinary	typical
S008896	device_3559	ordinary	typical
S009002	device_1154	ordinary	typical
S005212	device_0317	ordinary	typical
S003601	device_1854	ordinary	typical
S009652	device_1926	ordinary	typical
S005448	device_2626	ordinary	low
S006083	device_2994	ordinary	typical
S012574	device_2148	ordinary	high
S001110	device_0174	ordinary	typical
S011833	device_2869	ordinary	low
S009563	device_0500	repeatable	high
S006935	device_2462	ordinary	typical
S011258	device_2783	ordinary	high
S009545	device_2240	ordinary	typical
S002050	device_1334	repeatable	high
S007007	device_2496	repeatable	typical
S009235	device_3400	repeatable	high
S005553	device_3151	ordinary	typical
S006807	device_3457	ordinary	typical
S000747	device_0275	ordinary	typical
S010091	device_0093	ordinary	typical
S012291	device_2172	ordinary	typical
S012116	device_2176	ordinary	typical
S002230	device_1163	ordinary	typical
S012537	device_2086	repeatable	typical
S009339	device_1726	repeatable	typical
S011990	device_1985	ordinary	typical
S010384	device_3210	ordinary	typical
S012824	device_1314	ordinary	low
S010716	device_0386	ordinary	typical
S000583	device_3181	ordinary	typical
S005895	device_3028	ordinary	typical
S007940	device_3568	repeatable	high
S003746	device_3106	ordinary	typical
S002588	device_0914	ordinary	typical
S008703	device_3010	ordinary	typical
S010582	device_2776	ordinary	typical
S006629	device_0487	ordinary	typical
S010674	device_2198	ordinary	low
S003745	device_1492	repeatable	high
S002634	device_2496	ordinary	high
S000201	device_0129	ordinary	low
S011441	device_3374	ordinary	typical
S004638	device_1641	ordinary	typical
S009245	device_3135	ordinary	typical
S007851	device_2582	ordinary	typical
S008309	device_3128	ordinary	typical
S001919	device_1249	ordinary	typical
S007338	device_1033	ordinary	typical
S012879	device_2828	repeatable	low
S008644	device_3048	repeatable	high
S012354	device_0845	ordinary	typical
S009950	device_3546	repeatable	typical
S003407	device_1135	ordinary	typical
S001386	device_1985	repeatable	typical
S004119	device_3357	repeatable	high
S001381	device_3368	ordinary	low
S006243	device_1000	repeatable	high
S012846	device_3168	ordinary	typical
S011653	device_1672	ordinary	typical
S007235	device_3131	ordinary	high
S005150	device_2309	ordinary	typical
S008033	device_1554	ordinary	low
S005148	device_1540	ordinary	typical
S006676	device_2478	ordinary	high
S007883	device_2072	ordinary	typical
S010179	device_0707	repeatable	typical
S007735	device_2897	ordinary	high
S006356	device_3393	ordinary	typical
S000571	device_1641	ordinary	typical
S004162	device_1300	repeatable	high
S011574	device_1005	ordinary	high
S008537	device_1912	ordinary	typical
S005908	device_0770	ordinary	typical
S008135	device_1369	ordinary	low
S000765	device_2874	ordinary	typical
S011968	device_1783	repeatable	typical
S011543	device_1010	repeatable	high
S004720	device_1447	ordinary	typical
S012399	device_1942	ordinary	high
S003656	device_2859	repeatable	high
S000542	device_0072	ordinary	typical
S012393	device_2912	repeatable	high
S006633	device_0687	repeatable	high
S004950	device_0863	repeatable	typical
S009044	device_0260	repeatable	high
S009847	device_1254	ordinary	typical
S007802	device_1862	repeatable	typical
S005354	device_0940	ordinary	typical
S008668	device_0130	repeatable	low
S010528	device_1811	ordinary	typical
S003122	device_2591	repeatable	typical
S008474	device_3456	ordinary	high
S009462	device_0593	ordinary	typical
S006571	device_2793	ordinary	typical
S001101	device_2057	ordinary	typical
S005867	device_2633	repeatable	typical
S006720	device_0126	ordinary	typical
S011980	device_1583	repeatable	high
S007229	device_2318	ordinary	typical
S006514	device_2356	repeatable	high
S003339	device_2877	repeatable	typical
S004630	device_2862	repeatable	typical
S011301	device_1343	ordinary	typical
S003391	device_2427	ordinary	low
S009727	device_2626	repeatable	high
S003475	device_0250	ordinary	typical
S007591	device_2792	ordinary	typical
S012131	device_1896	ordinary	low
S012013	device_0044	ordinary	typical
S005420	device_2581	repeatable	typical
S005179	device_3111	ordinary	typical
S004783	device_3592	ordinary	high
S009858	device_2705	ordinary	typical
S009273	device_1452	repeatable	typical
S007122	device_2033	repeatable	high
S008622	device_2966	repeatable	high
S000288	device_0539	repeatable	typical
S012122	device_1517	repeatable	typical
S006789	device_1378	ordinary	typical
S008762	device_0854	ordinary	typical
S011394	device_1418	ordinary	typical
S012936	device_2159	repeatable	high
S002469	device_2783	repeatable	high
S009449	device_1951	repeatable	high
S004318	device_3390	ordinary	typical
S005340	device_2122	repeatable	typical
S012176	device_1841	repeatable	typical
S003012	device_0850	repeatable	high
S012353	device_3594	ordinary	typical
S007452	device_0352	ordinary	typical
S012509	device_0266	repeatable	high
S010460	device_0564	ordinary	typical
S009629	device_3080	ordinary	typical
S005846	device_1206	ordinary	high
S002186	device_1120	ordinary	typical
S007798	device_3137	ordinary	typical
S008390	device_1103	repeatable	typical
S009568	device_3080	repeatable	typical
S000638	device_1617	ordinary	typical
S009505	device_3378	ordinary	typical
S000848	device_2310	ordinary	high
S007456	device_3280	ordinary	typical
S010988	device_0139	ordinary	high
S012922	device_0786	repeatable	high
S001836	device_3595	ordinary	typical
S006825	device_0615	repeatable	high
S012529	device_1691	ordinary	typical
S005983	device_0686	ordinary	high
S011099	device_2296	ordinary	typical
S007239	device_2453	ordinary	typical
S003740	device_2373	ordinary	typical
S000582	device_3597	ordinary	typical
S009502	device_1688	ordinary	typical
S010623	device_1967	ordinary	typical
S010956	device_0579	repeatable	typical
S007383	device_0425	ordinary	typical
S001477	device_3042	ordinary	typical
S012726	device_0345	repeatable	high
S012424	device_0413	ordinary	high
S011204	device_1981	ordinary	high
S000255	device_2399	ordinary	typical
S009746	device_0978	ordinary	typical
S003194	device_1533	repeatable	typical
S010108	device_0117	ordinary	high
S002251	device_2026	repeatable	low
S010396	device_1278	ordinary	low
S001615	device_0548	ordinary	typical
S000541	device_1450	ordinary	typical
S008354	device_1687	repeatable	typical
S003943	device_1332	ordinary	typical
S000007	device_1314	ordinary	typical
S008830	device_1342	ordinary	typical
S002908	device_3040	ordinary	low
S012488	device_1047	repeatable	high
S001296	device_1939	ordinary	low
S002158	device_1952	ordinary	typical
S000739	device_2552	ordinary	typical
S005246	device_2263	ordinary	typical
S009374	device_3387	repeatable	high
S001901	device_0200	ordinary	typical
S012919	device_0491	ordinary	typical
S009828	device_1460	ordinary	typical
S000120	device_0349	ordinary	typical
S005129	device_2860	repeatable	high
S007135	device_3010	ordinary	typical
S004665	device_0152	repeatable	high
S004842	device_1047	ordinary	typical
S002301	device_1768	ordinary	high
S006907	device_2675	repeatable	high
S010531	device_1527	ordinary	high
S007530	device_2472	repeatable	typical
S006018	device_3592	repeatable	typical
S007670	device_2349	ordinary	low
S005153	device_2362	ordinary	typical
S001357	device_2976	repeatable	high
S009138	device_0728	ordinary	typical
S005749	device_2998	ordinary	typical
S002499	device_2212	repeatable	typical
S012757	device_2269	ordinary	typical
S005941	device_3424	ordinary	typical
S001123	device_0982	ordinary	typical
S004824	device_1123	repeatable	high
S001965	device_2928	repeatable	typical
S002172	device_2651	ordinary	high
S008325	device_2147	repeatable	typical
S007059	device_0704	ordinary	typical
S011526	device_1497	ordinary	typical
S000412	device_2944	ordinary	typical
S009965	device_1077	ordinary	typical
S006687	device_1934	repeatable	typical
S012927	device_3143	ordinary	typical
S006607	device_0415	repeatable	typical
S001330	device_0872	ordinary	typical
S001640	device_1103	ordinary	typical
S007113	device_3261	repeatable	high
S006502	device_3347	ordinary	typical
S008441	device_0167	repeatable	high
S010997	device_0941	ordinary	typical
S008543	device_2649	ordinary	typical
S002476	device_1974	ordinary	high
S010285	device_1159	ordinary	typical
S000947	device_2451	ordinary	typical
S010601	device_0779	repeatable	high
S005879	device_2401	ordinary	typical
S003082	device_2534	ordinary	typical
S005626	device_2960	ordinary	typical
S010793	device_2127	ordinary	typical
S006715	device_1677	repeatable	high
S009326	device_1140	ordinary	typical
S004069	device_0280	repeatable	typical
S008542	device_0465	ordinary	high
S000046	device_3229	repeatable	high
S004195	device_3048	ordinary	high
S005226	device_1627	repeatable	high
S001476	device_3330	ordinary	high
S009900	device_2456	ordinary	typical
S009048	device_2480	ordinary	typical
S010393	device_0166	ordinary	typical
S002708	device_0398	ordinary	typical
S005756	device_0033	repeatable	high
S007267	device_2634	ordinary	typical
S010161	device_2159	ordinary	high
S008763	device_0407	ordinary	high
S006504	device_3084	ordinary	typical
S006069	device_0358	repeatable	high
S012258	device_0284	ordinary	high
S010291	device_0857	repeatable	high
S000681	device_1759	ordinary	typical
S004205	device_2180	ordinary	high
S007462	device_3235	repeatable	high
S005008	device_2682	ordinary	typical
S006605	device_3252	ordinary	typical
S005718	device_1309	repeatable	typical
S008595	device_1308	ordinary	typical
S000960	device_3540	repeatable	high
S003493	device_2353	ordinary	typical
S002560	device_1738	ordinary	high
S000446	device_1456	repeatable	typical
S010865	device_2624	ordinary	typical
S001633	device_0260	ordinary	typical
S011536	device_1145	ordinary	typical
S001955	device_2885	ordinary	typical
S001748	device_1865	ordinary	typical
S011399	device_3478	repeatable	high
S000628	device_1931	ordinary	typical
S001167	device_3184	repeatable	high
S000101	device_1904	ordinary	typical
S001367	device_0706	ordinary	typical
S000505	device_2528	ordinary	high
S009391	device_2044	repeatable	typical
S002107	device_1101	repeatable	high
S011160	device_1681	ordinary	typical
S007889	device_2907	ordinary	high
S008305	device_3331	ordinary	typical
S010430	device_0602	ordinary	low
S005317	device_2766	repeatable	typical
S004385	device_0800	ordinary	typical
S005557	device_2488	repeatable	typical
S006819	device_0075	ordinary	typical
S000189	device_0281	ordinary	typical
S002724	device_3439	repeatable	high
S010704	device_2976	repeatable	high
S006404	device_1942	ordinary	typical
S004668	device_2778	ordinary	typical
S003059	device_1634	repeatable	high
S012153	device_3355	repeatable	low
S004443	device_3079	ordinary	high
S010591	device_1178	ordinary	typical
S009537	device_2324	ordinary	typical
S012944	device_2573	repeatable	high
S005113	device_1634	repeatable	high
S006000	device_0449	ordinary	typical
S000557	device_2055	repeatable	typical
S005284	device_2853	ordinary	low
S003937	device_2066	repeatable	high
S002847	device_3184	ordinary	typical
S007075	device_3212	ordinary	typical
S010392	device_3103	ordinary	typical
S000180	device_1463	ordinary	typical
S003114	device_0682	ordinary	typical
S002497	device_1586	ordinary	typical
S000347	device_2219	ordinary	high
S007691	device_0341	ordinary	high
S012943	device_1725	ordinary	typical
S009540	device_2043	ordinary	typical
S009774	device_1189	ordinary	typical
S000226	device_0160	repeatable	typical
S006703	device_2588	repeatable	high
S010481	device_3266	ordinary	typical
S002348	device_2461	ordinary	typical
S004040	device_2017	ordinary	typical
S003267	device_0732	ordinary	typical
S010479	device_1395	repeatable	typical
S006770	device_3483	ordinary	typical
S010377	device_1372	repeatable	high
S008564	device_0643	ordinary	typical
S010562	device_2230	ordinary	typical
S002606	device_2051	ordinary	typical
S001441	device_2271	ordinary	typical
S010444	device_1819	ordinary	typical
S004817	device_0751	ordinary	typical
S010945	device_2110	ordinary	typical
S000598	device_0726	ordinary	low
S006050	device_1094	ordinary	high
S001374	device_1469	ordinary	typical
S007688	device_3026	repeatable	typical
S003332	device_0093	ordinary	typical
S010186	device_1278	repeatable	high
S004124	device_1917	repeatable	high
S010738	device_0037	ordinary	typical
S006664	device_2216	repeatable	typical
S012034	device_2388	ordinary	typical
S003101	device_1376	ordinary	typical
S006716	device_3258	repeatable	typical
S003919	device_3238	repeatable	typical
S010673	device_1156	ordinary	typical
S009849	device_2551	ordinary	typical
S011067	device_3255	ordinary	typical
S009258	device_1118	ordinary	typical
S012371	device_2583	repeatable	high
S010896	device_2665	ordinary	high
S000581	device_1942	ordinary	low
S005370	device_1720	repeatable	high
S011285	device_2454	repeatable	typical
S011427	device_0219	ordinary	high
S000279	device_2042	ordinary	typical
S008580	device_0216	ordinary	typical
S002401	device_2539	ordinary	typical
S004880	device_2883	ordinary	typical
S010600	device_2527	ordinary	high
S005215	device_3370	ordinary	low
S007068	device_2911	ordinary	typical
S004242	device_3365	repeatable	high
S000624	device_2320	ordinary	typical
S008472	device_0864	ordinary	high
S006949	device_0847	ordinary	high
S008177	device_0692	ordinary	typical
S003258	device_3054	ordinary	typical
S004537	device_1444	ordinary	low
S012737	device_1226	ordinary	typical
S002988	device_1611	ordinary	typical
S007776	device_2394	repeatable	typical
S000520	device_2759	ordinary	low
S006532	device_2921	ordinary	high
S003359	device_0134	ordinary	typical
S000429	device_1558	ordinary	low
S001409	device_3430	ordinary	high
S008977	device_0599	ordinary	typical
S000842	device_0527	ordinary	typical
S007826	device_1473	ordinary	typical
S004681	device_0865	ordinary	high
S001500	device_3353	ordinary	typical
S012437	device_1036	ordinary	typical
S008566	device_2379	ordinary	typical
S004937	device_1076	ordinary	high
S011992	device_2076	ordinary	typical
S010402	device_1506	ordinary	typical
S008210	device_1475	repeatable	high
S002065	device_0835	repeatable	high
S010758	device_2241	ordinary	low
S012389	device_0825	ordinary	typical
S005155	device_0055	ordinary	low
S004582	device_0970	repeatable	high
S000560	device_1606	ordinary	high
S000657	device_1114	repeatable	high
S006211	device_0072	repeatable	high
S000717	device_2704	ordinary	high
S009482	device_3164	ordinary	typical
S002299	device_2123	ordinary	typical
S009134	device_1783	repeatable	high
S006856	device_0640	ordinary	typical
S009771	device_1583	ordinary	typical
S007045	device_0068	repeatable	typical
S001260	device_0693	ordinary	low
S001358	device_0207	ordinary	typical
S011634	device_0543	ordinary	typical
S002615	device_0268	repeatable	typical
S006273	device_2909	ordinary	typical
S001259	device_1906	ordinary	typical
S011442	device_0070	ordinary	typical
S011686	device_1465	ordinary	typical
S009443	device_0901	ordinary	typical
S004936	device_2368	repeatable	typical
S001324	device_1353	ordinary	low
S007967	device_2386	repeatable	typical
S009789	device_2003	repeatable	high
S002417	device_1537	ordinary	high
S002738	device_0125	ordinary	low
S007959	device_1430	ordinary	typical
S004716	device_2996	ordinary	typical
S003127	device_2193	ordinary	typical
S007952	device_1521	ordinary	high
S002221	device_3389	ordinary	typical
S009254	device_3334	ordinary	typical
S002611	device_1489	ordinary	typical
S000358	device_1722	ordinary	low
S003202	device_1128	ordinary	typical
S010658	device_1548	ordinary	typical
S009173	device_1515	repeatable	typical
S006100	device_1715	ordinary	typical
S001399	device_2085	ordinary	typical
S012301	device_0060	repeatable	high
S005732	device_0844	ordinary	typical
S012624	device_2007	repeatable	high
S009578	device_2269	repeatable	typical
S005442	device_3035	repeatable	typical
S007907	device_2954	ordinary	typical
S008991	device_2801	ordinary	typical
S012771	device_0486	ordinary	typical
S011159	device_0545	ordinary	high
S011697	device_0112	ordinary	typical
S011910	device_1495	ordinary	typical
S001868	device_1160	repeatable	high
S008059	device_1515	repeatable	typical
S006965	device_0985	repeatable	high
S004356	device_3375	ordinary	typical
S006059	device_2621	repeatable	high
S003457	device_1074	ordinary	typical
S012095	device_0109	ordinary	typical
S009178	device_1722	ordinary	typical
S002777	device_3308	ordinary	typical
S001339	device_2764	ordinary	typical
S003685	device_2921	repeatable	high
S001510	device_1087	ordinary	typical
S011608	device_3005	ordinary	high
S007121	device_1063	repeatable	typical
S008819	device_1193	ordinary	typical
S010751	device_0235	repeatable	typical
S002707	device_1216	ordinary	high
S005797	device_3120	ordinary	typical
S001875	device_0710	ordinary	high
S012276	device_0505	ordinary	typical
S012553	device_1043	repeatable	high
S002581	device_2569	ordinary	typical
S009198	device_2688	ordinary	typical
S011194	device_2559	ordinary	typical
S001426	device_0962	ordinary	typical
S000319	device_1662	ordinary	typical
S000969	device_3487	ordinary	low
S003545	device_1611	repeatable	high
S001888	device_1332	ordinary	typical
S009985	device_2366	repeatable	high
S010762	device_1140	ordinary	typical
S000251	device_2412	ordinary	high
S011726	device_0874	ordinary	typical
S001388	device_1546	ordinary	typical
S003144	device_0729	ordinary	typical
S007548	device_2276	ordinary	high
S007489	device_1946	ordinary	typical
S010406	device_0855	ordinary	high
S007815	device_2204	ordinary	high
S007525	device_3564	ordinary	typical
S012052	device_3222	repeatable	typical
S007146	device_0326	ordinary	typical
S005359	device_1535	repeatable	high
S009007	device_0773	ordinary	typical
S006251	device_0556	repeatable	typical
S008729	device_0789	ordinary	typical
S003243	device_2601	ordinary	typical
S002854	device_1160	ordinary	typical
S011199	device_1599	repeatable	typical
S001740	device_2362	ordinary	typical
S007775	device_3005	repeatable	typical
S008506	device_0844	repeatable	typical
S008293	device_1672	ordinary	high
S011470	device_3145	repeatable	high
S005534	device_2938	repeatable	high
S012520	device_2104	ordinary	typical
S001015	device_1937	ordinary	typical
S003398	device_1110	ordinary	typical
S004596	device_1843	ordinary	typical
S011690	device_0967	ordinary	typical
S011740	device_1406	ordinary	typical
S011216	device_2752	ordinary	typical
S005552	device_3491	repeatable	high
S005638	device_0156	repeatable	typical
S000700	device_2719	repeatable	low
S003242	device_3541	repeatable	high
S003918	device_1359	ordinary	typical
S008310	device_3320	ordinary	typical
S006659	device_1657	ordinary	low
S001819	device_0996	ordinary	high
S011259	device_0616	ordinary	typical
S009933	device_1307	ordinary	low
S000375	device_0686	repeatable	high
S008581	device_1501	ordinary	typical
S010337	device_0736	ordinary	typical
S005705	device_2732	ordinary	typical
S007236	device_1426	ordinary	high
S006890	device_1194	ordinary	typical
S004904	device_0919	ordinary	typical
S002717	device_3195	ordinary	typical
S004617	device_0594	ordinary	typical
S008573	device_0375	ordinary	typical
S002224	device_2670	ordinary	high
S012749	device_3356	repeatable	high
S003180	device_3478	repeatable	high
S007871	device_0969	ordinary	typical
S006443	device_1967	ordinary	typical
S011380	device_0022	ordinary	typical
S002145	device_0563	ordinary	typical
S003170	device_3126	ordinary	typical
S001423	device_2395	repeatable	low
S009621	device_1622	repeatable	high
S008872	device_1184	ordinary	typical
S012101	device_0334	ordinary	typical
S002848	device_0574	ordinary	typical
S003968	device_1048	ordinary	typical
S011819	device_1490	ordinary	typical
S009640	device_0645	ordinary	typical
S000615	device_0739	ordinary	high
S000648	device_2478	repeatable	typical
S011179	device_0049	ordinary	typical
S005831	device_1031	ordinary	high
S004981	device_2166	ordinary	high
S012852	device_2834	ordinary	typical
S004010	device_0173	ordinary	typical
S010212	device_3202	ordinary	typical
S002441	device_3275	ordinary	typical
S003414	device_1152	ordinary	typical
S003609	device_2682	repeatable	high
S000873	device_1456	ordinary	high
S005293	device_3322	ordinary	high
S005615	device_0652	ordinary	typical
S008488	device_1704	repeatable	high
S008111	device_1615	ordinary	typical
S002826	device_1526	ordinary	typical
S000418	device_1268	ordinary	typical
S011409	device_0557	repeatable	high
S006795	device_0853	repeatable	typical
S005249	device_2646	ordinary	typical
S003572	device_1507	ordinary	high
S005312	device_0311	ordinary	typical
S012507	device_0201	ordinary	high
S008129	device_2356	repeatable	typical
S001572	device_1980	ordinary	high
S007857	device_2407	ordinary	typical
S008681	device_1605	ordinary	typical
S009222	device_2966	ordinary	typical
S011955	device_2289	ordinary	typical
S005726	device_0418	ordinary	typical
S006555	device_2650	ordinary	typical
S008899	device_1636	ordinary	typical
S003737	device_0190	ordinary	typical
S000215	device_2432	ordinary	typical
S008471	device_0765	repeatable	high
S006367	device_1505	ordinary	high
S007078	device_1559	ordinary	typical
S007793	device_2488	ordinary	typical
S002308	device_2981	repeatable	high
S007748	device_2466	ordinary	typical
S010542	device_1479	ordinary	typical
S001838	device_1762	repeatable	high
S011307	device_1998	ordinary	typical
S002921	device_0133	ordinary	typical
S009935	device_1805	ordinary	typical
S008844	device_2067	ordinary	typical
S003337	device_0314	ordinary	typical
S010268	device_0320	ordinary	typical
S004977	device_0229	ordinary	low
S001650	device_2061	ordinary	typical
S009542	device_0331	repeatable	high
S001909	device_0415	ordinary	typical
S001459	device_2735	ordinary	typical
S005141	device_2366	ordinary	high
S006534	device_1307	repeatable	typical
S010216	device_1539	repeatable	high
S007273	device_3553	ordinary	low
S011416	device_1934	ordinary	typical
S011054	device_1545	repeatable	typical
S007088	device_2733	ordinary	typical
S011638	device_1111	ordinary	typical
S002544	device_2502	ordinary	typical
S005082	device_1535	ordinary	typical
S012274	device_0204	ordinary	high
S006206	device_1298	ordinary	high
S007946	device_2318	ordinary	typical
S005786	device_1745	ordinary	typical
S010512	device_3034	ordinary	typical
S004141	device_1917	ordinary	high
S004680	device_1457	ordinary	high
S000419	device_0207	ordinary	typical
S002864	device_0890	repeatable	high
S009556	device_2171	repeatable	high
S009741	device_2819	ordinary	typical
S007424	device_0446	ordinary	typical
S005182	device_2340	ordinary	high
S004760	device_1743	ordinary	typical
S005845	device_1992	ordinary	typical
S004202	device_1716	ordinary	typical
S001332	device_3211	ordinary	typical
S011609	device_0268	repeatable	high
S001131	device_2105	ordinary	high
S005926	device_0307	ordinary	typical
S011062	device_0695	ordinary	typical
S004565	device_2374	ordinary	typical
S004041	device_1205	repeatable	typical
S010604	device_0342	repeatable	high
S007738	device_1928	ordinary	low
S005222	device_0069	ordinary	high
S009832	device_2407	repeatable	high
S010064	device_1925	ordinary	typical
S000128	device_2795	ordinary	typical
S009884	device_0486	ordinary	typical
S010859	device_3425	ordinary	typical
S004371	device_0124	ordinary	typical
S008406	device_3172	ordinary	typical
S012494	device_2630	repeatable	typical
S006975	device_0916	ordinary	typical
S000406	device_1850	ordinary	typical
S003074	device_2187	ordinary	typical
S008645	device_1518	ordinary	typical
S002038	device_3151	ordinary	low
S012594	device_3500	ordinary	high
S007747	device_1115	repeatable	high
S009485	device_2060	ordinary	typical
S002920	device_2080	ordinary	typical
S005365	device_0357	repeatable	high
S005512	device_2658	repeatable	typical
S005038	device_1810	repeatable	high
S010570	device_2916	ordinary	typical
S000224	device_2287	ordinary	typical
S009069	device_2948	ordinary	typical
S003451	device_0442	ordinary	typical
S009513	device_2382	ordinary	high
S009795	device_0229	ordinary	typical
S010151	device_3007	repeatable	high
S001256	device_0192	ordinary	typical
S012451	device_2358	ordinary	typical
S008788	device_0386	ordinary	typical
S004359	device_3493	ordinary	typical
S002720	device_2751	ordinary	typical
S012863	device_0905	repeatable	high
S007140	device_1500	ordinary	low
S000751	device_2488	ordinary	typical
S000293	device_2946	ordinary	typical
S002203	device_2776	ordinary	typical
S007154	device_2516	ordinary	typical
S008560	device_3029	ordinary	typical
S006132	device_3107	ordinary	typical
S003941	device_1906	repeatable	high
S004163	device_0769	ordinary	typical
S003657	device_2943	ordinary	typical
S000272	device_0339	ordinary	high
S009433	device_3272	repeatable	typical
S006877	device_0080	ordinary	low
S011310	device_0974	ordinary	high
S005091	device_1697	ordinary	typical
S011187	device_1802	repeatable	typical
S003469	device_0345	repeatable	high
S008029	device_2106	ordinary	high
S012580	device_0251	ordinary	typical
S000632	device_0799	ordinary	high
S005905	device_2984	ordinary	high
S010743	device_0017	ordinary	high
S011744	device_1026	ordinary	low
S005278	device_0794	repeatable	high
S007246	device_0693	ordinary	low
S004499	device_0571	repeatable	typical
S007703	device_3169	ordinary	high
S006927	device_2622	ordinary	typical
S004190	device_3276	repeatable	high
S005358	device_1827	ordinary	typical
S008112	device_3464	repeatable	typical
S000498	device_3259	ordinary	typical
S011112	device_2658	repeatable	typical
S010224	device_0356	ordinary	typical
S008464	device_0833	ordinary	typical
S000772	device_2800	ordinary	high
S008002	device_1867	ordinary	typical
S009020	device_2768	ordinary	high
S008234	device_3386	ordinary	typical
S006472	device_0091	ordinary	typical
S003916	device_1714	ordinary	high
S009824	device_2912	ordinary	typical
S006265	device_3034	ordinary	high
S001749	device_0106	ordinary	typical
S005305	device_1456	ordinary	high
S001874	device_2368	ordinary	typical
S005998	device_1868	ordinary	low
S006337	device_0305	ordinary	typical
S008288	device_2070	repeatable	high
S003452	device_1533	repeatable	typical
S006666	device_3224	ordinary	typical
S010448	device_0370	repeatable	high
S010264	device_3380	ordinary	typical
S008925	device_1521	ordinary	typical
S005356	device_1768	ordinary	typical
S006632	device_2242	repeatable	high
S009191	device_2484	ordinary	typical
S012547	device_1877	ordinary	high
S011714	device_3113	ordinary	typical
S005004	device_1754	ordinary	typical
S000096	device_2399	ordinary	typical
